date,helpful,name,rating,review,size
23-Jul-19,One person found this helpful,Siddhartha Roy,4.0 out of 5 stars,Phenomenal performance machine but not a giant improvement over the previous Oneplus mobiles,Size: 6GB+128GB
15-Jun-19,2 people found this helpful,Soumyanil Das,5.0 out of 5 stars,Definitely go for it!,Size: 8GB+256GB
13-Jun-19,4 people found this helpful,chethan S C,2.0 out of 5 stars,Not Worth for money,Size: 6GB+128GB
07-Jul-19,2 people found this helpful,Jayaprakash,2.0 out of 5 stars,Pathetic Battery life,Size: 6GB+128GB
24-Jul-19,2 people found this helpful,Alok biradar,4.0 out of 5 stars,An honest review:,Size: 8GB+256GB
29-Aug-19,,Aditi Bhattacharya,5.0 out of 5 stars,Never settle for anything else!,Size: 6GB+128GB
07-Jun-19,7 people found this helpful,Srujan Sriram,5.0 out of 5 stars,Nice,Size: 6GB+128GB
13-Jun-19,One person found this helpful,srao,5.0 out of 5 stars,OnePlus has stood upto it's name,Size: 8GB+256GB
06-Aug-19,One person found this helpful,Sourav,5.0 out of 5 stars,A must buy phone.,Size: 8GB+256GB
07-Jun-19,2 people found this helpful,vipin nair,3.0 out of 5 stars,Should i regret?,Size: 6GB+128GB
21-Jul-19,One person found this helpful,Achu Gopinathan,4.0 out of 5 stars,One month user experience,Size: 6GB+128GB
07-Jun-19,One person found this helpful,hitesh bhalodia,5.0 out of 5 stars,Go for it once again it is killer phone for one plus..,Size: 8GB+256GB
08-Jun-19,2 people found this helpful,Pijush Kumar mukherjee,4.0 out of 5 stars,Awsm product and fully satisfied,Size: 8GB+256GB
17-Aug-19,One person found this helpful,veejhay c shaah,5.0 out of 5 stars,Minor glitches but good phone,Size: 6GB+128GB
12-Jun-19,2 people found this helpful,KRISHNENDU DUTTA,4.0 out of 5 stars,Budget flagship,Size: 6GB+128GB
22-Aug-19,,Chahat,4.0 out of 5 stars,Love the phone but there are some drawbacks,Size: 6GB+128GB
18-Jun-19,One person found this helpful,arun yadav,4.0 out of 5 stars,A good package,Size: 6GB+128GB
07-Jun-19,2 people found this helpful,Rajat Mohanty,5.0 out of 5 stars,Excellent Product. Oneplus nailed it this time.,Size: 6GB+128GB
29-Aug-19,,Usha Krishnan,3.0 out of 5 stars,Let down!!,Size: 8GB+256GB
08-Jun-19,One person found this helpful,Tushar Jadhav,5.0 out of 5 stars,VFM device & superior than iOS,Size: 6GB+128GB
17-Aug-19,,Kunal Shukla,4.0 out of 5 stars,Value for money device,Size: 8GB+256GB
09-Jun-19,2 people found this helpful,VP,5.0 out of 5 stars,Jack Of All!,Size: 6GB+128GB
07-Jun-19,3 people found this helpful,kobe,4.0 out of 5 stars,Sbi card ppl check this,Size: 6GB+128GB
02-Jul-19,2 people found this helpful,pratyush,5.0 out of 5 stars,A smart beast .!!!!!,Size: 8GB+256GB
06-Sep-19,,Geri Paul,4.0 out of 5 stars,Good phone in the market,Size: 6GB+128GB
27-Jul-19,,santhosh kumar,4.0 out of 5 stars,Satisfied An iPhone user in months,Size: 6GB+128GB
07-Jun-19,2 people found this helpful,Mahesh Reddy,5.0 out of 5 stars,One plus never Disappoints!!!!,Size: 6GB+128GB
24-Aug-19,One person found this helpful,Ravinder Drall,5.0 out of 5 stars,An able Phone.,Size: 8GB+256GB
07-Jul-19,One person found this helpful,Rohit Ganjoo,5.0 out of 5 stars,The best money can buy,Size: 8GB+256GB
22-Jun-19,,Dheeraj,5.0 out of 5 stars,A flagship phone that lives up to its name.,Size: 6GB+128GB
07-Aug-19,,Golprasanna,5.0 out of 5 stars,Good one go for it,Size: 8GB+256GB
09-Jun-19,6 people found this helpful,Velu vp,1.0 out of 5 stars,Missing headset jack converter,Size: 8GB+256GB
16-Jul-19,,Raj,5.0 out of 5 stars,One of best OnePlus model,Size: 6GB+128GB
06-Jul-19,,Krv ,5.0 out of 5 stars,The real OnePlus phone,Size: 6GB+128GB
25-Jul-19,,Abhishek,4.0 out of 5 stars,Good. Fast phone,Size: 6GB+128GB
21-Jul-19,3 people found this helpful,Swati,2.0 out of 5 stars,A review from an genuine user and not a paid user,Size: 6GB+128GB
07-Jun-19,One person found this helpful,Amazon Customer,5.0 out of 5 stars,Switched to One Plus 7 - iOS User since 2008.,Size: 6GB+128GB
08-Aug-19,One person found this helpful,Yogeesh,5.0 out of 5 stars,The One Plus way. Bit costly but Worth it.,Size: 6GB+128GB
09-Jul-19,One person found this helpful,Amazon Customer,5.0 out of 5 stars,"Excellent phone for the price, with a very good camera and best in class performance",Size: 8GB+256GB
08-Jun-19,One person found this helpful,N.SIVAKUMAR,5.0 out of 5 stars,Beauty of the Beast - Never regret,Size: 8GB+256GB
21-Aug-19,,abhishek jain,5.0 out of 5 stars,Absolute BEAST!!!,Size: 8GB+256GB
11-Jun-19,2 people found this helpful,Nikhil Tumbde,5.0 out of 5 stars,Best value for money smartphone,Size: 6GB+128GB
10-Jun-19,2 people found this helpful,Harshad Joshi,4.0 out of 5 stars,One Plus 7 review,Size: 6GB+128GB
29-Aug-19,,Ranjan,4.0 out of 5 stars,Good solid value for money but some basics missing,Size: 6GB+128GB
01-Jul-19,2 people found this helpful,Javed,3.0 out of 5 stars,Does,Size: 6GB+128GB
10-Aug-19,One person found this helpful,Riyaz Ahmed,5.0 out of 5 stars,OnePlus 7 after 2 months of usage,Size: 6GB+128GB
12-Jun-19,2 people found this helpful,San san,5.0 out of 5 stars,CAMERA QUALITY NOT SATISFIED,Size: 8GB+256GB
10-Jun-19,One person found this helpful,neeraj s.,5.0 out of 5 stars,Wonderful phone,Size: 6GB+128GB
26-Jun-19,,PUNNOOSE V BENNY,5.0 out of 5 stars,"Excellent phone , go and get it before it goes",Size: 6GB+128GB
29-Jul-19,,Amazozon,5.0 out of 5 stars,Recommended,Size: 8GB+256GB
17-Jul-19,One person found this helpful,Sohan,4.0 out of 5 stars,Value for money,Size: 6GB+128GB
12-Jun-19,One person found this helpful,SANTHOSH,5.0 out of 5 stars,Flagship killer,Size: 8GB+256GB
08-Jun-19,One person found this helpful,GOLLA KARTHIK BABU,5.0 out of 5 stars,Flawless 😎,Size: 8GB+256GB
09-Jun-19,One person found this helpful,siddharth dhawan,5.0 out of 5 stars,"Awesome phone, true flagship",Size: 6GB+128GB
07-Jun-19,One person found this helpful,Vaithiyanathan N,5.0 out of 5 stars,First OnePlus and flawless experience.,Size: 8GB+256GB
07-Jun-19,3 people found this helpful,abhi Chowdhary,5.0 out of 5 stars,Perfect phone m satisfy ✌️,Size: 6GB+128GB
07-Jun-19,2 people found this helpful,Anoop Krishnan,4.0 out of 5 stars,First time user. Too fast device.,Size: 6GB+128GB
22-Jun-19,,Nikhil Kumar,5.0 out of 5 stars,"Very good smartphone, few things could have been better, waiting for updates",Size: 6GB+128GB
